x,y,v,Pos_x,Pos_y,
7,89,1,95261,16017,
7,90,1,95264,15025,
7,91,1,95268,14034,
7,92,1,95274,13042,
7,93,1,95277,12050,
7,94,1,95284,11053,
7,95,1,95288,10061,
7,96,1,95291,9070,
7,97,1,95299,8076,
7,98,1,95302,7083,
7,99,1,95305,6090,
7,100,1,95312,5093,
7,101,1,95314,4101,
7,102,1,95317,3107,
7,103,1,95324,2115,
7,104,1,95327,1121,
7,105,1,95329,128,
7,106,1,95336,-866,
7,107,1,95338,-1860,
7,108,1,95346,-2859,
7,109,1,95349,-3853,
7,110,1,95351,-4847,
7,111,1,95357,-5841,
7,112,1,95358,-6835,
7,113,1,95359,-7830,
7,114,1,95366,-8829,
7,115,1,95366,-9823,
7,116,1,95368,-10818,
7,117,1,95373,-11805,
8,85,1,93960,19995,
8,86,1,93961,19001,
8,87,1,93964,18009,
8,88,1,93967,17018,
8,89,1,93974,16026,
8,90,1,93977,15034,
8,91,1,93981,14042,
8,92,1,93988,13050,
8,93,1,93991,12058,
8,94,1,93998,11061,
8,95,1,94002,10069,
8,96,1,94005,9078,
8,97,1,94012,8085,
8,98,1,94016,7091,
8,99,1,94019,6099,
8,100,1,94026,5101,
8,101,1,94029,4108,
8,102,1,94032,3115,
8,103,1,94038,2123,
8,104,1,94041,1129,
8,105,1,94044,136,
8,106,1,94051,-858,
8,107,1,94054,-1853,
8,108,1,94061,-2852,
8,109,1,94063,-3846,
8,110,1,94065,-4839,
8,111,1,94071,-5834,
8,112,1,94073,-6829,
8,113,1,94075,-7824,
8,114,1,94080,-8823,
8,115,1,94082,-9817,
8,116,1,94083,-10812,
8,117,1,94089,-11807,
8,118,1,94090,-12803,
8,119,1,94091,-13798,
8,120,1,94099,-14791,
8,121,1,94100,-15787,
8,122,1,94100,-16782,
8,123,1,94105,-17778,
9,78,1,92654,26949,
9,79,1,92656,25958,
9,80,1,92663,24967,
9,81,1,92665,23976,
9,82,1,92667,22983,
9,83,1,92674,21990,
9,84,1,92676,20998,
9,85,1,92679,20006,
9,86,1,92686,19014,
9,87,1,92689,18022,
9,88,1,92695,17028,
9,89,1,92698,16036,
9,90,1,92702,15045,
9,91,1,92711,14058,
9,92,1,92714,13065,
9,93,1,92716,12072,
9,94,1,92722,11076,
9,95,1,92725,10083,
9,96,1,92728,9090,
9,97,1,92738,8100,
9,98,1,92741,7107,
9,99,1,92744,6113,
9,100,1,92749,5112,
9,101,1,92751,4117,
9,102,1,92762,3131,
9,103,1,92765,2137,
9,104,1,92768,1143,
9,105,1,92773,142,
9,106,1,92775,-852,
9,107,1,92777,-1846,
9,108,1,92786,-2836,
9,109,1,92788,-3831,
9,110,1,92791,-4826,
9,111,1,92795,-5825,
9,112,1,92797,-6821,
9,113,1,92798,-7817,
9,114,1,92806,-8808,
9,115,1,92807,-9804,
9,116,1,92812,-10798,
9,117,1,92814,-11793,
9,118,1,92815,-12789,
9,119,1,92818,-13791,
9,120,1,92819,-14787,
9,121,1,92819,-15783,
9,122,1,92827,-16774,
9,123,1,92827,-17770,
9,124,1,92827,-18767,
9,125,1,92833,-19760,
9,126,1,92832,-20756,
9,127,1,92832,-21753,
9,128,1,92835,-22747,
9,129,1,92836,-23744,
10,75,1,91356,29933,
10,76,1,91357,28942,
10,77,1,91365,27949,
10,78,1,91367,26957,
10,79,1,91368,25966,
10,80,1,91375,24975,
10,81,1,91377,23984,
10,82,1,91379,22992,
10,83,1,91387,21998,
10,84,1,91389,21006,
10,85,1,91392,20014,
10,86,1,91399,19022,
10,87,1,91402,18030,
10,88,1,91408,17036,
10,89,1,91411,16044,
10,90,1,91413,15053,
10,91,1,91423,14066,
10,92,1,91425,13073,
10,93,1,91428,12080,
10,94,1,91434,11084,
10,95,1,91437,10091,
10,96,1,91440,9098,
10,97,1,91449,8107,
10,98,1,91452,7115,
10,99,1,91455,6121,
10,100,1,91460,5119,
10,101,1,91463,4125,
10,102,1,91474,3139,
10,103,1,91476,2145,
10,104,1,91479,1150,
10,105,1,91484,149,
10,106,1,91486,-844,
10,107,1,91489,-1839,
10,108,1,91498,-2828,
10,109,1,91500,-3824,
10,110,1,91503,-4819,
10,111,1,91507,-5819,
10,112,1,91509,-6815,
10,113,1,91511,-7810,
10,114,1,91519,-8802,
10,115,1,91520,-9798,
10,116,1,91522,-10794,
10,117,1,91526,-11788,
10,118,1,91528,-12784,
10,119,1,91531,-13786,
10,120,1,91532,-14782,
10,121,1,91532,-15778,
10,122,1,91540,-16770,
10,123,1,91540,-17767,
10,124,1,91541,-18763,
10,125,1,91546,-19756,
10,126,1,91546,-20753,
10,127,1,91546,-21750,
10,128,1,91550,-22743,
10,129,1,91550,-23740,
10,130,1,91550,-24736,
10,131,1,91554,-25729,
10,132,1,91554,-26725,
10,133,1,91556,-27720,
11,71,1,90056,33901,
11,72,1,90058,32910,
11,73,1,90059,31919,
11,74,1,90066,30931,
11,75,1,90068,29941,
11,76,1,90070,28950,
11,77,1,90077,27956,
11,78,1,90079,26964,
11,79,1,90081,25974,
11,80,1,90087,24983,
11,81,1,90089,23992,
11,82,1,90092,23000,
11,83,1,90098,22006,
11,84,1,90100,21014,
11,85,1,90103,20023,
11,86,1,90110,19030,
11,87,1,90113,18039,
11,88,1,90119,17045,
11,89,1,90121,16053,
11,90,1,90124,15061,
11,91,1,90133,14074,
11,92,1,90136,13081,
11,93,1,90139,12088,
11,94,1,90145,11092,
11,95,1,90147,10099,
11,96,1,90150,9106,
11,97,1,90159,8115,
11,98,1,90163,7122,
11,99,1,90166,6129,
11,100,1,90170,5126,
11,101,1,90173,4133,
11,102,1,90184,3147,
11,103,1,90187,2153,
11,104,1,90190,1158,
11,105,1,90194,156,
11,106,1,90197,-837,
11,107,1,90199,-1832,
11,108,1,90208,-2821,
11,109,1,90211,-3816,
11,110,1,90213,-4811,
11,111,1,90218,-5812,
11,112,1,90220,-6808,
11,113,1,90221,-7803,
11,114,1,90229,-8796,
11,115,1,90231,-9792,
11,116,1,90233,-10788,
11,117,1,90237,-11783,
11,118,1,90239,-12778,
11,119,1,90242,-13780,
11,120,1,90244,-14777,
11,121,1,90245,-15773,
11,122,1,90252,-16765,
11,123,1,90253,-17762,
11,124,1,90254,-18758,
11,125,1,90260,-19752,
11,126,1,90261,-20748,
11,127,1,90262,-21745,
11,128,1,90265,-22740,
11,129,1,90266,-23736,
11,130,1,90266,-24732,
11,131,1,90270,-25726,
11,132,1,90270,-26723,
11,133,1,90272,-27717,
11,134,1,90272,-28714,
